,Unnamed: 0,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
81,81,Jordan Clarkson,16.2,3.2,3.7,0.8,0.2,2.3,0.408,0.362,32.0,SG,9.0,12.0,-1.5,0.1,0.021,"14,092,577"
82,82,Paul George,16.2,5.3,4.3,1.8,0.5,2.6,0.43,0.358,34.0,PF,41.0,16.0,-0.4,0.5,0.036,"49,205,800"
83,83,Jalen Suggs,16.2,4.0,3.7,1.5,0.9,2.9,0.41,0.314,23.0,PG,35.0,5.0,0.4,0.6,0.052,"9,188,385"
84,84,Myles Turner,15.6,6.5,1.5,0.8,2.0,1.7,0.481,0.396,28.0,C,72.0,11.0,0.4,1.3,0.104,"19,928,500"
85,85,Christian Braun,15.4,5.2,2.6,1.1,0.5,1.0,0.58,0.397,23.0,SG,77.0,4.0,0.3,1.6,0.144,"3,089,640"
86,86,Jonathan Kuminga,15.3,4.6,2.2,0.8,0.4,1.5,0.454,0.305,22.0,PF,10.0,5.0,-0.6,0.4,0.08,"7,636,307"
87,87,Jared McCain,15.3,2.4,2.6,0.7,0.0,1.6,0.46,0.383,20.0,SG,8.0,2.0,0.2,0.3,0.057,"4,020,360"
88,88,Mark Williams,15.3,10.2,2.5,0.7,1.2,1.6,0.604,0.0,23.0,C,41.0,4.0,3.5,1.6,0.195,"4,094,280"
89,89,Kelly Oubre Jr.,15.1,6.1,1.8,1.5,0.5,1.3,0.47,0.293,29.0,SF,57.0,11.0,-2.3,-0.1,0.061,"7,983,000"
90,90,Chet Holmgren,15.0,8.0,2.0,0.7,2.2,1.8,0.49,0.379,22.0,C,32.0,3.0,2.4,1.0,0.173,"10,880,640"
91,91,Kyle Kuzma,14.8,5.7,2.3,0.6,0.3,2.2,0.436,0.307,29.0,PF,62.0,9.0,-4.9,-1.4,-0.024,"24,456,060"
92,92,Stephon Castle,14.7,3.7,4.1,0.9,0.3,2.2,0.428,0.285,20.0,PG,47.0,2.0,-3.2,-0.6,0.025,"9,105,120"
93,93,Aaron Gordon,14.7,4.8,3.2,0.5,0.3,1.4,0.531,0.436,29.0,PF,42.0,12.0,1.2,1.2,0.143,"22,841,455"
94,94,P.J. Washington,14.7,7.8,2.3,1.1,1.1,2.1,0.453,0.381,26.0,PF,56.0,7.0,-0.9,0.5,0.062,"15,500,000"
95,95,Quentin Grimes,14.6,4.3,3.0,1.0,0.3,1.9,0.467,0.385,24.0,SG,37.0,5.0,0.4,1.2,0.081,"4,296,682"
