,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
3253,Eric Paschall,9.5,3.2,1.3,0.3,0.2,1.1,0.497,0.333,24.0,PF,2.0,3.0,-2.7,-0.1,0.062,"1,806,397"
3254,Trevor Ariza,9.4,4.8,1.8,1.0,0.6,0.7,0.411,0.35,35.0,SF,27.0,18.0,-1.1,0.2,0.091,"15,232,000"
3255,Cody Zeller,9.4,6.8,1.8,0.6,0.4,1.1,0.559,0.143,28.0,C,21.0,9.0,-0.5,0.4,0.156,"18,344,718"
3256,KJ Martin,9.3,5.4,1.1,0.7,0.9,0.8,0.509,0.365,20.0,SF,8.0,2.0,-1.8,0.0,0.099,"1,068,988"
3257,Larry Nance Jr.,9.3,6.7,3.1,1.7,0.5,1.6,0.471,0.36,28.0,PF,27.0,7.0,0.4,0.7,0.08,"13,933,818"
3258,Landry Shamet,9.3,1.8,1.6,0.5,0.2,0.8,0.408,0.387,23.0,SG,12.0,4.0,-2.4,-0.2,0.063,"2,487,147"
3259,Desmond Bane,9.2,3.1,1.7,0.6,0.2,0.9,0.469,0.432,22.0,SG,17.0,2.0,-0.8,0.5,0.093,"2,304,363"
3260,Josh Hart,9.2,8.0,2.3,0.8,0.3,1.0,0.439,0.326,25.0,SF,4.0,5.0,-0.8,0.4,0.097,"4,154,479"
3261,David Nwaba,9.2,3.9,1.0,1.0,0.7,0.6,0.486,0.27,28.0,SF,9.0,6.0,-0.8,0.2,0.094,"2,170,563"
3262,Patrick Williams,9.2,4.6,1.4,0.9,0.6,1.4,0.483,0.391,19.0,PF,71.0,2.0,-2.4,-0.2,0.06,"8,411,348"
3263,Furkan Korkmaz,9.1,2.1,1.5,0.9,0.2,0.8,0.401,0.375,23.0,SG,11.0,5.0,-0.1,0.5,0.092,"2,097,727"
3264,Talen Horton-Tucker,9.0,2.6,2.8,1.0,0.3,1.6,0.458,0.282,20.0,SG,4.0,3.0,-1.2,0.3,0.078,"1,806,397"
3265,Robin Lopez,9.0,3.8,0.8,0.2,0.6,1.1,0.633,0.278,32.0,C,9.0,14.0,-1.0,0.4,0.131,"8,687,000"
3266,Paul Millsap,9.0,4.7,1.8,0.9,0.6,0.9,0.476,0.343,35.0,PF,36.0,16.0,1.0,0.9,0.133,"12,019,000"
3267,Jaylen Nowell,9.0,2.3,1.5,0.5,0.3,0.7,0.424,0.333,21.0,SG,0.0,3.0,-2.8,-0.2,0.044,"1,806,397"
3268,Ivica Zubac,9.0,7.2,1.3,0.3,0.9,1.1,0.652,0.25,23.0,C,33.0,6.0,1.0,1.2,0.206,"8,330,000"
3269,DeMarcus Cousins,8.9,6.4,1.9,0.8,0.6,1.6,0.426,0.348,30.0,C,11.0,12.0,0.4,0.4,0.079,"2,774,595"
3270,DeMarcus Cousins,8.9,6.4,1.9,0.8,0.6,1.6,0.426,0.348,30.0,C,11.0,12.0,0.4,0.4,0.079,"857,084"
3271,Bruce Brown,8.8,5.4,1.6,0.9,0.4,0.8,0.556,0.288,24.0,PG,37.0,4.0,-0.1,0.7,0.144,"1,979,994"
